5/2/2023;;1;;1;;1;;1;;EMB26;;1;;21.500938640683863;;34.94508314131108
9/1/2023;;2;;2;;2;;2;;EMB32;;2;;21.109932464228383;;34.59717725067984
15/2/2023;;3;;1;;3;;3;;EMB59;;1;;21.71230989505791;;34.66987354324644
1/2/2023;;4;;3;;4;;4;;EMB28;;3;;21.682254127151936;;34.702396316024235
8/3/2023;;5;;4;;4;;1;;EMB15;;1;;21.185743859557093;;34.994063800114226
16/3/2023;;5;;5;;1;;2;;EMB11;;4;;21.82792989452577;;34.569246933393984
5/3/2023;;1;;6;;2;;3;;EMB18;;5;;21.89551170788991;;34.350053102036256
4/3/2023;;6;;7;;3;;4;;EMB2;;6;;21.940203968910474;;34.66095202460997
15/3/2023;;2;;2;;4;;1;;EMB8;;7;;21.59695377892436;;34.72950194867095
17/2/2023;;7;;1;;4;;2;;EMB20;;7;;21.546759955865078;;34.89663628931181
8/3/2023;;2;;3;;1;;3;;EMB12;;8;;21.38630555769708;;34.157385456841354
20/3/2023;;3;;4;;2;;4;;EMB55;;2;;21.547744234719428;;34.20999213109644
17/3/2023;;4;;5;;3;;1;;EMB11;;9;;21.89120232162531;;34.83091923543513
3/1/2023;;5;;6;;4;;2;;EMB52;;10;;21.173158070675523;;34.83015443801868
1/1/2023;;5;;4;;1;;3;;EMB47;;5;;21.848707014107887;;34.275388568329426
1/3/2023;;1;;2;;2;;4;;EMB30;;11;;21.304836757343683;;34.18298008116509
13/3/2023;;6;;2;;3;;1;;EMB43;;12;;21.05605081043254;;34.00962483274875
18/3/2023;;1;;1;;4;;2;;EMB13;;9;;21.97014307156768;;34.62263342925821
1/2/2023;;2;;2;;1;;1;;EMB27;;11;;21.002185009467976;;34.457787200471316
8/3/2023;;3;;1;;2;;2;;EMB44;;13;;21.241711296263396;;34.288753613437486
2/1/2023;;4;;3;;3;;3;;EMB44;;8;;21.519705656717804;;34.62217406396778
17/1/2023;;5;;4;;4;;4;;EMB53;;1;;21.24166802009386;;34.21956620284968
1/1/2023;;5;;5;;4;;1;;EMB53;;14;;21.738942440540455;;34.07658646746679
16/1/2023;;1;;6;;1;;2;;EMB53;;15;;21.628477093526477;;34.03790484247717
