1/1/2023;;1;;1;;10;;33;;330
1/1/2023;;2;;2;;28;;5;;140
1/1/2023;;3;;3;;16;;43;;688
1/1/2023;;4;;4;;29;;7;;203
1/1/2023;;5;;5;;12;;45;;540
1/1/2023;;6;;6;;15;;2;;30
1/1/2023;;7;;7;;14;;36;;504
2/1/2023;;8;;8;;14;;36;;504
2/1/2023;;9;;9;;10;;13;;130
2/1/2023;;7;;10;;24;;1;;24
2/1/2023;;10;;11;;17;;7;;119
2/1/2023;;11;;12;;15;;13;;195
2/1/2023;;12;;13;;23;;19;;437
2/1/2023;;13;;2;;25;;42;;1050
2/1/2023;;14;;3;;21;;35;;735
3/1/2023;;6;;4;;25;;37;;925
3/1/2023;;15;;5;;11;;43;;473
3/1/2023;;16;;6;;28;;36;;1008
3/1/2023;;17;;7;;30;;41;;1230
3/1/2023;;18;;8;;22;;10;;220
3/1/2023;;15;;9;;12;;25;;300
4/1/2023;;19;;1;;11;;11;;121
4/1/2023;;20;;2;;12;;4;;48
4/1/2023;;21;;14;;16;;19;;304
4/1/2023;;22;;3;;19;;2;;38
4/1/2023;;14;;4;;10;;22;;220
5/1/2023;;23;;15;;30;;27;;810
5/1/2023;;24;;6;;22;;2;;44
5/1/2023;;11;;7;;30;;29;;870
5/1/2023;;25;;8;;20;;19;;380
6/1/2023;;26;;9;;13;;37;;481
6/1/2023;;27;;1;;26;;44;;1144
6/1/2023;;20;;14;;15;;16;;240
6/1/2023;;7;;16;;24;;17;;408
6/1/2023;;16;;3;;18;;43;;774
7/1/2023;;28;;4;;11;;9;;99
7/1/2023;;10;;17;;20;;5;;100
7/1/2023;;20;;6;;25;;15;;375
7/1/2023;;15;;7;;28;;41;;1148
7/1/2023;;23;;8;;27;;8;;216
8/1/2023;;29;;9;;12;;39;;468
8/1/2023;;9;;1;;24;;39;;936
8/1/2023;;30;;16;;15;;37;;555
8/1/2023;;31;;18;;14;;9;;126
8/1/2023;;19;;3;;27;;22;;594
9/1/2023;;21;;4;;12;;39;;468
9/1/2023;;32;;19;;24;;25;;600
9/1/2023;;33;;6;;10;;22;;220
9/1/2023;;28;;7;;10;;19;;190
9/1/2023;;10;;8;;19;;42;;798
10/1/2023;;27;;9;;17;;2;;34
10/1/2023;;34;;1;;30;;32;;960
10/1/2023;;35;;18;;12;;5;;60
10/1/2023;;6;;20;;15;;38;;570
10/1/2023;;36;;3;;12;;26;;312
10/1/2023;;6;;4;;20;;10;;200
10/1/2023;;35;;21;;18;;22;;396
10/1/2023;;13;;6;;30;;7;;210
10/1/2023;;36;;7;;21;;9;;189
10/1/2023;;33;;3;;25;;10;;250
10/1/2023;;22;;4;;14;;27;;378
10/1/2023;;37;;21;;18;;8;;144
10/1/2023;;29;;6;;10;;45;;450
10/1/2023;;19;;7;;18;;24;;432
10/1/2023;;23;;8;;19;;15;;285
10/1/2023;;27;;9;;24;;36;;864
10/1/2023;;10;;1;;24;;37;;888
10/1/2023;;38;;22;;21;;33;;693
11/1/2023;;33;;23;;18;;19;;342
11/1/2023;;39;;3;;21;;35;;735
11/1/2023;;37;;4;;16;;33;;528
11/1/2023;;10;;24;;30;;6;;180
11/1/2023;;19;;6;;24;;21;;504
11/1/2023;;37;;7;;26;;10;;260
11/1/2023;;32;;3;;19;;10;;190
11/1/2023;;19;;4;;19;;35;;665
12/1/2023;;21;;24;;27;;24;;648
12/1/2023;;24;;6;;12;;33;;396
12/1/2023;;23;;7;;25;;13;;325
12/1/2023;;40;;8;;25;;40;;1000
12/1/2023;;26;;9;;25;;9;;225
12/1/2023;;7;;1;;23;;30;;690
12/1/2023;;41;;25;;13;;4;;52
12/1/2023;;42;;26;;19;;22;;418
12/1/2023;;33;;3;;27;;39;;1053
12/1/2023;;17;;4;;21;;44;;924
12/1/2023;;43;;27;;19;;41;;779
12/1/2023;;6;;6;;13;;25;;325
12/1/2023;;34;;7;;30;;23;;690
13/1/2023;;24;;3;;16;;38;;608
13/1/2023;;29;;4;;28;;35;;980
13/1/2023;;31;;27;;11;;39;;429
13/1/2023;;42;;6;;20;;20;;400
13/1/2023;;11;;7;;29;;22;;638
13/1/2023;;39;;8;;30;;12;;360
13/1/2023;;44;;9;;23;;36;;828
13/1/2023;;20;;1;;10;;23;;230
13/1/2023;;25;;28;;13;;7;;91
13/1/2023;;4;;29;;14;;25;;350
