3/1/2023;;42;;cinta adheciva;;25;;37;;925
3/1/2023;;1;;lapices de color_12;;11;;43;;473
3/1/2023;;7;;resaltador;;28;;36;;1008
3/1/2023;;6;;pegamento_V;;30;;41;;1230
3/1/2023;;12;;borrador;;22;;10;;220
3/1/2023;;1;;tapas_carpeta;;12;;25;;300
4/1/2023;;33;;Lapiz_S_3h;;11;;11;;121
4/1/2023;;26;;marcadores_12;;12;;4;;48
4/1/2023;;5;;marcadores_13;;16;;19;;304
4/1/2023;;43;;plastaformo;;19;;2;;38
4/1/2023;;36;;cinta adheciva;;10;;22;;220
5/1/2023;;4;;lapices de color_13;;30;;27;;810
5/1/2023;;13;;resaltador;;22;;2;;44
5/1/2023;;11;;pegamento_V;;30;;29;;870
5/1/2023;;14;;borrador;;20;;19;;380
6/1/2023;;23;;tapas_carpeta;;13;;37;;481
6/1/2023;;38;;Lapiz_S_3h;;26;;44;;1144
6/1/2023;;26;;marcadores_13;;15;;16;;240
6/1/2023;;8;;marcadores_14;;24;;17;;408
6/1/2023;;7;;plastaformo;;18;;43;;774
7/1/2023;;41;;cinta adheciva;;11;;9;;99
7/1/2023;;20;;lapices de color_14;;20;;5;;100
7/1/2023;;26;;resaltador;;25;;15;;375
7/1/2023;;1;;pegamento_V;;28;;41;;1148
7/1/2023;;4;;borrador;;27;;8;;216
8/1/2023;;3;;tapas_carpeta;;12;;39;;468
8/1/2023;;16;;Lapiz_S_3h;;24;;39;;936
8/1/2023;;25;;marcadores_14;;15;;37;;555
8/1/2023;;40;;marcadores_15;;14;;9;;126
8/1/2023;;33;;plastaformo;;27;;22;;594
9/1/2023;;5;;cinta adheciva;;12;;39;;468
9/1/2023;;32;;lapices de color_15;;24;;25;;600
9/1/2023;;35;;resaltador;;10;;22;;220
9/1/2023;;41;;pegamento_V;;10;;19;;190
9/1/2023;;20;;borrador;;19;;42;;798
10/1/2023;;38;;tapas_carpeta;;17;;2;;34
10/1/2023;;21;;Lapiz_S_3h;;30;;32;;960
10/1/2023;;46;;marcadores_15;;12;;5;;60
10/1/2023;;42;;marcadores_16;;15;;38;;570
10/1/2023;;10;;plastaformo;;12;;26;;312
10/1/2023;;42;;cinta adheciva;;20;;10;;200
10/1/2023;;46;;lapices de color_16;;18;;22;;396
10/1/2023;;48;;resaltador;;30;;7;;210
10/1/2023;;10;;pegamento_V;;21;;9;;189
10/1/2023;;35;;plastaformo;;25;;10;;250
10/1/2023;;43;;cinta adheciva;;14;;27;;378
10/1/2023;;49;;lapices de color_16;;18;;8;;144
10/1/2023;;3;;resaltador;;10;;45;;450
10/1/2023;;33;;pegamento_V;;18;;24;;432
10/1/2023;;4;;borrador;;19;;15;;285
10/1/2023;;38;;tapas_carpeta;;24;;36;;864
10/1/2023;;20;;Lapiz_S_3h;;24;;37;;888
10/1/2023;;34;;marcadores_17;;21;;33;;693
11/1/2023;;35;;marcadores_18;;18;;19;;342
11/1/2023;;29;;plastaformo;;21;;35;;735
11/1/2023;;49;;cinta adheciva;;16;;33;;528
11/1/2023;;20;;lapices de color_17;;30;;6;;180
11/1/2023;;33;;resaltador;;24;;21;;504
11/1/2023;;49;;pegamento_V;;26;;10;;260
11/1/2023;;32;;plastaformo;;19;;10;;190
11/1/2023;;33;;cinta adheciva;;19;;35;;665
12/1/2023;;5;;lapices de color_17;;27;;24;;648
12/1/2023;;13;;resaltador;;12;;33;;396
12/1/2023;;4;;pegamento_V;;25;;13;;325
12/1/2023;;31;;borrador;;25;;40;;1000
12/1/2023;;23;;tapas_carpeta;;25;;9;;225
12/1/2023;;8;;Lapiz_S_3h;;23;;30;;690
12/1/2023;;2;;marcadores_19;;13;;4;;52
12/1/2023;;18;;marcadores_20;;19;;22;;418
12/1/2023;;35;;plastaformo;;27;;39;;1053
12/1/2023;;6;;cinta adheciva;;21;;44;;924
12/1/2023;;39;;lapices de color_18;;19;;41;;779
12/1/2023;;42;;resaltador;;13;;25;;325
12/1/2023;;21;;pegamento_V;;30;;23;;690
13/1/2023;;13;;plastaformo;;16;;38;;608
13/1/2023;;3;;cinta adheciva;;28;;35;;980
13/1/2023;;40;;lapices de color_18;;11;;39;;429
13/1/2023;;18;;resaltador;;20;;20;;400
13/1/2023;;11;;pegamento_V;;29;;22;;638
13/1/2023;;29;;borrador;;30;;12;;360
13/1/2023;;44;;tapas_carpeta;;23;;36;;828
13/1/2023;;26;;Lapiz_S_3h;;10;;23;;230
13/1/2023;;14;;marcadores_21;;13;;7;;91
13/1/2023;;45;;marcadores_22;;14;;25;;350
